   X                 Y
   0.00000000      -7.59474412E-02
   6.34665191E-02  -1.30556673E-02
  0.126933038      0.218821734    
  0.190399557       9.40038636E-02
  0.253866076      0.229377314    
  0.317332596      0.348381639    
  0.380799115      0.404551744    
  0.444265634      0.482530415    
  0.507732153      0.387085319    
  0.571198702      0.587668657    
  0.634665191      0.543868423    
  0.698131680      0.718711436    
  0.761598229      0.618214369    
  0.825064778      0.674307227    
  0.888531268      0.716660142    
  0.951997757      0.838275671    
   1.01546431      0.750601530    
   1.07893085      0.826016665    
   1.14239740      0.839939117    
   1.20586383      0.854276717    
   1.26933038      0.966361165    
   1.33279693      0.981313169    
   1.39626336      0.913761258    
   1.45972991       1.00037527    
   1.52319646       1.06351423    
   1.58666301      0.914071977    
   1.65012956      0.915401995    
   1.71359599      0.978214741    
   1.77706254      0.887797594    
   1.84052908      0.937087953    
   1.90399551      0.963107347    
   1.96746206      0.983290255    
   2.03092861      0.894050121    
   2.09439516      0.898015916    
   2.15786171      0.861729681    
   2.22132826      0.802778244    
   2.28479481      0.738435805    
   2.34826112      0.811626613    
   2.41172767      0.641539752    
   2.47519422      0.643044829    
   2.53866076      0.570769429    
   2.60212731      0.469243526    
   2.66559386      0.515178323    
   2.72906041      0.460056335    
   2.79252672      0.298337251    
   2.85599327      0.362058699    
   2.91945982      0.171501786    
   2.98292637       7.79247060E-02
   3.04639292       4.58864756E-02
   3.10985947       6.62777051E-02
   3.17332602      -6.69862926E-02
   3.23679256      -4.61549647E-02
   3.30025911      -7.97250867E-02
   3.36372542     -0.310931027    
   3.42719197     -0.316372037    
   3.49065852     -0.372942090    
   3.55412507     -0.481545717    
   3.61759162     -0.528006017    
   3.68105817     -0.485305876    
   3.74452472     -0.495095074    
   3.80799103     -0.550441563    
   3.87145758     -0.595428407    
   3.93492413     -0.713097155    
   3.99839067     -0.695200920    
   4.06185722     -0.786287725    
   4.12532377     -0.765298247    
   4.18879032     -0.860965312    
   4.25225687     -0.952678978    
   4.31572342     -0.975450635    
   4.37918997     -0.862836838    
   4.44265652     -0.865047097    
   4.50612307     -0.886194825    
   4.56958961     -0.956514359    
   4.63305569      -1.02106941    
   4.69652224      -1.02571416    
   4.75998878      -1.04872656    
   4.82345533     -0.983777404    
   4.88692188      -1.04099154    
   4.95038843      -1.02438736    
   5.01385498     -0.998897672    
   5.07732153     -0.939627469    
   5.14078808     -0.940633178    
   5.20425463     -0.906991065    
   5.26772118     -0.854044855    
   5.33118773     -0.838048875    
   5.39465427     -0.819509685    
   5.45812082     -0.648399353    
   5.52158737     -0.709108889    
   5.58505344     -0.572876394    
   5.64851999     -0.690304875    
   5.71198654     -0.632157266    
   5.77545309     -0.577863216    
   5.83891964     -0.373060971    
   5.90238619     -0.323110253    
   5.96585274     -0.295500100    
   6.02931929     -0.322521448    
   6.09278584     -0.288143188    
   6.15625238     -0.171566099    
   6.21971893      -7.26369619E-02
   6.28318548       6.40402138E-02
